City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,coahuayana de hidalgo,18.7,-103.6583,26.49,80,11,1.53,MX,1731370025
83,afaahiti,-17.75,-149.2833,23.44,85,99,7.88,PF,1731370026
84,hermanus,-34.4187,19.2345,16.0,81,46,3.38,ZA,1731370027
85,san patricio,28.017,-97.5169,25.97,58,32,4.11,US,1731370029
86,moroto,2.5345,34.6666,20.64,62,74,2.4,UG,1731370030
87,berezovyy,51.6667,135.7,-6.42,57,100,0.77,RU,1731370031
88,longyearbyen,78.2186,15.6401,-0.09,100,75,2.57,SJ,1731370032
89,senador jose porfirio,-2.5908,-51.9542,26.4,78,100,1.87,BR,1731370033
90,kone,-21.0595,164.8658,31.78,38,10,3.37,NC,1731370034
91,iskateley,67.6803,53.1512,-7.09,98,100,2.41,RU,1731370035
92,padang,-0.9492,100.3543,24.03,91,100,2.21,ID,1731370036
93,mogocha,53.7333,119.7667,-19.19,100,76,0.82,RU,1731370038
94,nabire,-3.3667,135.4833,29.4,67,83,0.6,ID,1731370039
95,mesquite,32.7668,-96.5992,21.32,54,0,0.0,US,1731369783
96,maraba,-5.3686,-49.1178,24.1,94,100,1.03,BR,1731370041
97,menaka,15.9182,2.4022,22.81,17,0,4.14,ML,1731370042
98,mwinilunga,-11.7358,24.4293,16.33,98,98,1.77,ZM,1731370043
99,winnemucca,40.973,-117.7357,8.03,66,100,9.77,US,1731370044
100,cascais,38.6979,-9.4215,18.36,63,0,1.79,PT,1731370046
101,fort bragg,35.139,-79.006,18.91,91,0,2.06,US,1731370047
102,santa cruz,-17.8,-63.1667,27.7,78,40,2.57,BO,1731370048
103,hamilton,39.1834,-84.5333,14.1,75,0,2.06,US,1731370049
104,ribeira grande,38.5167,-28.7,20.99,95,95,10.28,PT,1731370050
105,geita,-2.8708,32.2341,18.07,85,100,1.11,TZ,1731370051
106,ancud,-41.8697,-73.8203,10.42,87,100,4.09,CL,1731370052
107,kingston,17.997,-76.7936,27.53,89,20,3.09,JM,1731369959
108,hengyang,26.8881,112.615,19.16,61,28,1.3,CN,1731370055
109,dudinka,69.4058,86.1778,-23.56,93,47,5.71,RU,1731370057
110,fortuna,40.5982,-124.1573,14.96,75,75,0.0,US,1731370058
111,port mathurin,-19.6833,63.4167,24.2,80,76,9.63,MU,1731370059
112,acarau,-2.8856,-40.12,26.09,75,100,7.84,BR,1731370060
113,kerikeri,-35.2268,173.9474,19.81,57,23,4.36,NZ,1731370061
114,turka,49.1541,23.0297,-0.37,84,94,0.48,UA,1731370063
115,arraial do cabo,-22.9661,-42.0278,22.81,82,0,9.51,BR,1731370064
116,rawson,-43.3002,-65.1023,17.16,31,0,10.29,AR,1731370065
117,aasiaat,68.7098,-52.8699,-2.47,78,100,8.11,GL,1731370066
118,lockport,41.5895,-88.0578,8.52,67,0,5.66,US,1731370067
119,kolonia,50.9333,6.95,9.51,92,75,1.54,DE,1731370068
120,miandrivazo,-19.5167,45.4667,27.71,56,47,1.42,MG,1731370069
121,multan,30.1956,71.4753,20.94,88,100,2.06,PK,1731370070
122,kavaratti,10.5669,72.642,28.9,66,65,3.63,IN,1731370072
123,uturoa,-16.7333,-151.4333,26.29,81,82,8.11,PF,1731370073
124,olinda,-8.0089,-34.8553,26.85,74,40,3.09,BR,1731370074
125,ola,59.5833,151.2833,-12.48,71,100,5.85,RU,1731370075
126,palestine,31.9216,35.2033,13.85,88,85,1.34,PS,1731370076
127,datia,25.6667,78.4667,20.89,49,55,1.38,IN,1731370077
128,cadillac,44.2519,-85.4012,3.95,93,100,7.2,US,1731370050
129,miyaly,48.8844,53.7836,-3.08,59,44,3.35,KZ,1731370079
130,chonchi,-42.6128,-73.8092,11.18,93,100,1.5,CL,1731370080
131,dubbo,-32.25,148.6167,24.07,57,81,5.14,AU,1731370081
132,port lincoln,-34.7333,135.8667,19.69,68,15,4.17,AU,1731370083
133,fale old settlement,-9.3852,-171.2468,28.77,65,3,7.04,TK,1731370084
134,fortaleza,-3.7227,-38.5247,26.79,83,0,3.09,BR,1731370085
135,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,52,75,3.0,RU,1731370086
136,at taj,24.2049,23.2857,15.46,34,0,3.06,LY,1731370087
137,fernley,39.608,-119.2518,6.23,46,86,4.47,US,1731370088
138,enchanted hills,35.3368,-106.593,12.66,50,90,0.89,US,1731370089
139,kapa'a,22.0752,-159.319,26.18,94,100,4.12,US,1731370090
140,salinopolis,-0.6136,-47.3561,26.92,79,100,5.74,BR,1731370091
141,afif,23.9065,42.9172,19.11,27,99,4.45,SA,1731370093
142,margaret river,-33.95,115.0667,16.13,67,99,4.72,AU,1731370063
143,harran,36.86,39.0314,14.09,50,7,3.26,TR,1731370095
144,kodiak,57.79,-152.4072,5.73,45,0,3.6,US,1731370096
145,badger,64.8,-147.5333,-15.66,78,75,0.0,US,1731370097
146,pisco,-13.7,-76.2167,19.03,82,0,7.2,PE,1731370098
147,iringal,11.5593,75.611,24.54,70,11,1.96,IN,1731370099
148,kollam,8.8833,76.6,25.65,80,9,1.74,IN,1731370100
149,yulinshi,38.2906,109.7494,7.28,40,98,1.97,CN,1731369977
150,pacific grove,36.6177,-121.9166,14.12,92,0,2.57,US,1731370048
151,carutapera,-1.195,-46.02,26.19,81,69,4.32,BR,1731370104
152,zhosaly,45.4878,64.0781,0.87,82,92,5.17,KZ,1731370105
153,susuman,62.7833,148.1667,-20.7,95,100,1.36,RU,1731370106
154,ulety,51.3572,112.4849,-14.86,97,15,0.46,RU,1731370108
155,isiro,2.7739,27.616,18.91,99,99,0.36,CD,1731370109
156,khandyga,62.6667,135.6,-22.41,99,99,1.06,RU,1731370111
157,callao,-12.0667,-77.15,21.51,77,20,5.14,PE,1731370112
158,gadzhiyevo,69.2551,33.3362,2.36,88,100,7.77,RU,1731370069
159,pacocha,-17.5833,-71.3333,17.31,90,15,1.45,PE,1731370114
160,maumere,-8.6199,122.2111,29.57,56,65,0.2,ID,1731370115
161,bayanhongor,46.7167,100.1167,-15.53,84,33,1.73,MN,1731370116
162,vilyuchinsk,52.9306,158.4028,3.15,75,18,16.0,RU,1731370117
163,marquette,46.5333,-87.6335,1.85,91,100,2.68,US,1731370118
